2560,2816,3072,3328,3584,3840,4096,4352,4608,4864,5120,5376,5632,5888,6144,6400,6656,6912,7168,7424,7680,7936,8192,8448,8704,8960,9216,9472,9728,9984,10240,10496,10752,11008,11264,11520,11776,12032,12288,12544,12800,13056,13312,13568,13824,14080,14336,14592,14848,15104,15360,15616,15872,16128,16384,16640,16896,17152,17408,17664,17920,18176,18432,18688,18944,19200,19456,19712,19968,20224,20480,20736,20992,21248,21504,21760,22016,22272,22528,22784,23040,23296,23552,23808,24064,24320,24576,24832,25088,25344,25600,25856,26112,26368,26624,26880,27136,27392,27648,27904,28160,28416,28672,28928,29184,29440,29696,29952,30208,30464,30720,30976,31232,31488,31744,32000,32256,32512,32768,33024,33280,33536,33792,34048,34304,34560,34816,35072,35328,35584,35840,36096,36352,36608,36864,37120,37376,37632,37888,38144,38400,38656,38912,39168,39424,39680,39936,40192,40448,40704,40960,41216,41472,41728,41984,42240,42496,42752,43008,43264,43520,43776,44032,44288,44544,44800,45056,45312,45568,45824,46080,46336,46592,46848,47104,47360,47616,47872,48128,48384,48640,48896,49152,49408,49664,49920,50176,50432,50688,50944,51200
1704,1790,18870,1530,9794,29849,23297,11606,27471,13335,29881,27237,18947,14554,15769,37372,17006,15817,18253,19703,20585,21391,20840,21601,22175,23585,49933,25338,53924,13853,7201,26492,27002,28363,8866,32141,29891,8333,32917,33997,34657,35165,34276,38159,38385,36420,37553,36133,39600,14256,39648,18636,41217,90243,41014,42976,44216,42816,44182,44956,48078,48381,79314,14347,15679,13998,15223,52201,53297,15975,115944,54828,56663,17412,17680,56698,121566,101835,126516,130417,19630,57873,60258,61778,64363,63891,62993,65220,137887,67174,67309,67019,70146,69544,72506,70191,70440,73457,71939,71275,73622,77150,75275,77211,75794,77006,80801,78575,79151,79639,79688,79983,82481,80120,82717,84723,84469,84411,85579,85291,21529,86609,88763,26640,87210,89034,28226,24740,92110,92149,93392,105790,96440,97555,93707,95410,97654,97783,99659,98167,99375,101189,213398,103622,93543,95600,95799,23827,27299,25364,56452,99157,27998,26547,99984,37136,35367,110389,52796,104971,102235,103674,105170,117032,118773,107756,108837,108257,118744,85710,78443,123588,271361,124955,122233,35175,113752,41767,117383,129203,47726,120556,128253,119516,117786,130327,39095,124000,122218,135735,122887
2127,2024,2916,3267,3392,3457,3948,4100,4314,4396,4718,4915,4616,5285,5261,5080,6033,6846,5686,7788,6502,7313,7538,7311,8717,8591,12898,9264,9648,9921,10826,9879,10133,11606,11095,11725,11631,12676,12547,13017,12855,12489,12500,13760,14691,14727,14022,14722,15046,15341,15296,15731,15843,16151,16171,16102,16601,17162,17466,17587,16921,18982,18026,17382,17952,19231,19007,18440,19081,18917,20593,20818,20054,20311,19799,22042,22010,22629,21499,23468,22921,22012,22508,22839,22954,24568,23380,29227,24914,24074,26335,24702,25451,24673,27109,25635,26255,26613,26516,29014,27847,29892,27703,31298,27916,26529,27643,29618,30344,38972,28969,29893,31408,31076,36198,30840,30415,33228,31247,32110,33612,35306,31310,32663,34253,33980,35182,34757,33572,36825,36019,33530,43104,41327,35286,36162,37347,36807,38363,36592,39188,46015,36708,36662,43060,51980,51400,38704,52270,47415,53272,53543,54185,45188,53698,37196,39575,43196,49958,56111,56551,58453,55806,46565,41409,57546,58427,57999,44107,48646,45959,44917,43695,45002,50039,70693,61957,51668,59259,46304,49150,55938,53730,54868,64766,47582,62284,51438,57654,49398,67228
2060,2771,3224,2867,3256,3034,3413,3795,3589,4797,4398,3932,4840,5449,4743,5388,5815,6008,6035,6946,6902,5883,6792,6995,8261,8368,7960,8300,9288,9059,9804,10640,10609,10950,11425,11202,11480,12332,12002,11974,12601,12842,13115,13735,12645,13806,14330,14209,14381,14946,15332,15490,15629,15063,16276,16692,17359,22549,16880,17728,17262,18810,17744,17663,17878,18901,18934,18690,19440,19023,20204,20303,20136,20214,19675,22010,21603,82297,21291,22157,23143,22586,22359,23010,23381,24594,25448,24264,24677,24661,24918,25458,24159,24739,26023,24602,26783,26654,26679,26875,26712,28515,29181,28886,27490,26671,28182,29331,31136,30645,28574,29378,31909,31012,29638,30109,30179,32377,31177,30557,33345,32437,31452,32396,32144,32706,34458,33515,33254,35533,34928,32562,36250,34694,34394,35214,36895,35861,38314,35948,36662,50185,36070,36391,43168,51795,49199,39854,52338,47920,53454,52935,53513,46482,53633,43250,39781,41039,50962,54995,56006,57580,55547,45890,41637,55778,58683,58932,43473,42547,45799,44903,42816,44156,45507,66613,62819,49668,57713,44874,48506,66306,51600,56593,62463,46361,62830,51976,57633,48605,66253
2107,2362,2583,2710,3719,2788,3120,3961,3719,4343,4304,4126,4436,5199,4876,5225,5304,6046,6324,7110,6827,7758,7426,8194,8067,7835,8036,9027,8828,9548,9700,10679,8937,10275,10804,11034,11540,12172,12070,12470,12545,12283,12346,12875,12822,13884,14118,14330,14898,14465,20358,15566,15746,13382,15401,15981,16022,16479,21543,16968,17233,18212,17905,17909,17597,19326,17957,18266,24753,18411,19972,19977,19612,20233,19745,21483,21502,21692,21445,21131,22668,22148,22236,22576,23174,24402,25231,23539,24096,23324,24611,24921,24611,24183,25263,24601,26884,26235,26454,26171,26883,28203,28266,28439,27317,27299,28092,29129,30968,28498,28582,29390,31107,30955,29810,30058,30321,31992,31175,30004,32503,32532,31539,32705,31558,33288,34424,34412,33487,35804,35038,33320,35115,33912,34619,34918,36510,34819,37664,35901,37417,54573,36591,36645,43773,50745,49425,38928,51953,48859,51759,51916,53306,45261,53158,38003,40193,40881,52030,52144,55262,55956,54452,45595,41192,56145,57495,56658,42714,42089,45096,43671,42750,44501,45444,58636,60729,49919,57346,45169,46738,55450,52409,53638,62648,46302,62587,50601,58793,47984,64645
2000,2084,3546,3313,3589,2927,3512,4448,3796,4330,4304,4308,4425,5222,4693,5090,6256,5894,6050,7764,6754,7031,7864,7251,8268,7557,8190,9016,8993,9088,9907,9798,9099,10320,10537,10822,11416,11614,11961,12201,12250,12754,12903,12012,12559,13677,14075,14437,14928,14565,14976,15230,15791,13847,15086,16091,16684,16244,17009,17651,17247,18035,17306,17771,17541,18985,17861,18497,18832,18977,19749,20366,19742,19598,19638,20675,21021,20830,21041,21474,22082,21953,22353,22699,23191,24316,23144,23280,24006,23378,24628,24202,24228,24990,25349,24784,26605,26218,26813,25907,26821,27559,26981,27867,27116,26453,27617,28758,29809,27828,28480,28873,31014,30567,29848,30401,30522,31259,31277,30649,32824,31645,31596,32759,32387,33048,34418,33301,33278,35122,34272,32951,34737,34310,34208,35176,36965,35202,37128,36036,36257,49000,36100,36616,42936,49855,50277,38528,50769,46441,51394,51801,52528,43862,52738,37476,39858,39724,60620,52761,54725,55241,53830,45592,41782,54414,55974,54753,42052,41458,44688,43595,42893,43165,45055,57952,58986,49503,57119,45151,46281,51758,50049,55397,59986,46021,61746,48900,57375,47542,63877
2093,2667,2835,3072,2994,3182,3402,3933,3655,4090,3960,3766,4193,4584,4891,4769,5735,6086,5514,7090,6287,6974,6823,8268,7141,7710,7767,8306,9072,9026,9168,10157,9798,10253,10714,10434,11047,11646,11475,12114,12328,12717,12770,12991,12756,13695,14054,13724,14062,14311,14866,15511,15796,15086,15522,15591,16132,16543,16906,16998,17527,17793,17053,17431,17543,18450,18060,17700,18507,19058,19251,20082,19639,19551,19202,21396,20984,21226,21428,21414,22278,22042,22241,22996,23172,23696,22686,23541,23577,23178,24227,24720,25512,24671,25505,25005,26303,26418,26401,25536,26289,27347,26694,27513,27789,26796,28083,28479,29646,28405,28741,28970,30934,30601,30119,30366,30399,31155,30996,30447,32412,31792,31741,33045,32612,32911,34245,33967,32583,38454,34351,33478,34355,33801,34836,34181,35960,34317,36502,35958,36795,46515,35830,36497,40966,48770,48381,38717,49967,47660,50319,49967,50532,43385,49489,37280,39481,40073,49847,48071,53308,54570,50732,44868,40940,52547,54359,54120,42497,41621,44501,43199,42467,44517,45127,57049,56940,47695,53523,45374,46072,51265,50036,51554,57070,46198,57985,47956,54461,46614,61463
2039,2332,2992,3012,3372,3061,2928,3349,3400,3898,4163,3848,4519,4800,4424,4964,5718,6010,5975,6941,6679,6578,7534,8155,7372,7656,8364,8314,8760,9038,9083,9612,10244,9723,10902,11320,11445,11291,11305,11353,12223,12804,12726,13086,12759,13787,13827,14243,14348,14532,15105,14882,15336,14987,15821,15639,16305,15887,17018,16900,17614,17521,17683,17601,17391,18381,17941,18397,18709,19052,19792,20398,19442,19948,19731,20671,20956,20681,21066,21354,22047,22162,22049,22813,22903,23638,23009,23171,23196,25384,24053,24415,24632,25028,25253,24847,26617,25762,26317,25777,26466,27604,26563,27366,27307,26704,27882,29278,29192,28006,28773,28773,30326,30428,29497,30055,30349,30575,30295,29638,32257,31587,31898,32228,31845,33008,34486,33417,33338,33732,33805,32795,34176,33854,34721,34029,36629,34916,36552,35988,35790,45842,36065,35650,40407,48512,46999,39003,48268,46111,47613,49883,49821,42507,48192,36504,39320,40302,48822,50248,51297,51893,50008,43640,41157,50674,52292,52892,41730,41422,43582,43097,43122,44121,44365,56678,55054,46987,51366,45003,46727,44425,47294,51410,58985,46142,55807,47427,53268,47802,58893
2168,2395,2822,2993,2990,2849,2880,3581,3456,4029,4384,4326,4074,4674,4689,4955,5597,5927,5569,6652,6288,6694,7225,7197,7658,7869,7892,8500,9011,9495,9503,10091,10140,10397,10731,10449,11038,11490,12445,11667,12558,12502,13021,12884,13073,13547,13688,14441,14367,15045,15091,15511,15502,15404,16346,16227,16565,16549,17017,17224,17308,17631,17085,17637,17618,18226,18243,17708,18890,18999,19971,19958,21971,19842,19418,20845,21169,21196,20979,21601,21875,22296,21840,22711,22739,24155,22861,23235,23131,22937,24115,24359,24393,24927,25438,24938,26106,26336,26048,25300,26568,27074,27029,27526,27110,26516,27879,28910,29516,27759,28433,28316,30720,30239,29241,29513,30295,31178,31012,30341,33026,31393,31702,31706,32003,32980,34126,33060,32998,34134,34084,32934,34215,34109,34752,34019,36714,34358,35999,35701,36564,51874,36289,36066,41148,43148,47414,38953,47325,45966,49501,46332,46784,43506,48364,35811,46521,39358,47269,45118,50082,49856,47546,43876,41323,51072,49261,49952,41913,41744,43525,43883,42278,43544,44664,55437,53195,47787,51807,45111,45447,44322,47589,50030,55680,45182,69503,45955,51794,47100,55487
2419,2463,2431,2868,3474,2866,3104,3482,3625,4179,4353,4286,4625,4646,4568,4581,5265,6173,5913,6680,6471,6654,7186,7852,7669,7723,7541,9169,8762,9302,9429,9581,10465,10496,10811,10619,11369,11913,11531,11547,11941,12172,12636,12804,12725,13429,13700,14133,14210,14346,14656,14882,15708,15558,16217,15351,16015,15981,16714,17244,17486,17266,17172,17691,17395,18443,18175,17949,18683,18984,19034,20315,19472,19619,18959,21093,21149,20803,21141,21027,21574,21844,21874,22306,22875,23975,22623,23520,22894,22255,23742,24404,25475,25583,25316,25112,26453,26145,25949,25509,26144,27065,26894,34521,27328,26505,28641,29222,28750,27813,28780,28352,31922,30024,29827,30289,30042,30905,31266,30125,32043,31928,31239,32550,31506,32296,34067,33179,32878,33557,33782,32017,34231,34075,34772,33808,36273,34840,36615,35831,36421,40652,35244,35700,39628,40158,43407,40110,44100,43983,46290,45834,46954,41797,47054,35581,38982,39472,47368,45258,49298,47569,46268,41977,41284,47967,49809,48138,43126,41586,42952,42533,42428,43314,43585,51760,52261,46927,48128,44622,45771,44284,47008,48330,53944,45390,50309,45751,50187,47832,53203
2107,2263,3397,2967,3330,2868,2713,3552,3560,3965,4238,4244,4440,4596,5108,4786,5747,6182,5924,7075,6457,6940,6720,7805,7923,8692,8041,8818,8819,9751,9846,9936,9903,10088,10815,10939,10847,11492,11360,11865,12217,12320,12769,12892,12658,13519,13420,14137,14655,14198,14640,14883,15472,15187,15739,15611,16288,15928,16823,16800,16909,17532,17217,17433,17243,18104,18078,18378,18802,18683,19560,19639,19822,19587,19186,20682,20866,21017,21163,20965,21911,21746,21140,22211,22689,23301,22021,23329,22722,22382,24290,24759,24651,24214,25157,24971,26306,26405,26184,26262,26716,31572,26535,27481,26756,26994,28214,29057,29453,27699,28437,28925,30302,29611,29857,29788,30363,31215,30692,30772,32662,31357,30590,32037,31591,32394,33872,32682,32377,34146,34331,32462,33640,33576,33999,33586,35627,34838,36794,35554,36082,37853,36368,36058,38954,38564,43971,36271,43511,43257,42719,44985,45500,41855,43293,36697,38487,39346,45409,45632,46607,46590,44696,42460,41116,47084,47528,47389,41977,41702,44783,42634,42521,43423,43653,49065,50698,46671,48148,44474,52784,44393,46561,46514,49207,46030,51165,45772,49388,47089,49897
