2560,2816,3072,3328,3584,3840,4096,4352,4608,4864,5120,5376,5632,5888,6144,6400,6656,6912,7168,7424,7680,7936,8192,8448,8704,8960,9216,9472,9728,9984,10240,10496,10752,11008,11264,11520,11776,12032,12288,12544,12800
3125,1729,2631,1999,2694,2445,4015,5539,3389,3852,4115,3756,5019,6285,3818,3720,7092,47016,15785,18010,40575,21048,20437,7431,9973,10105,5432,10998,11341,11823,6474,26990,12926,26957,12019,13581,14666,28120,66777,16049,32803
2172,2225,2471,2556,2934,3788,3740,4626,3985,4959,4647,5007,4897,6205,6199,6897,7158,5944,8106,8120,8623,9112,9154,9765,10219,10081,11567,11419,11638,12120,12454,12852,13395,13545,11997,14351,15225,13259,15165,15643,16750
2052,2278,2691,2275,3013,3261,3308,4365,3903,4513,4391,4690,5155,6085,6211,6932,7054,5801,7838,8184,8286,8901,8789,9859,10349,10376,11485,11249,11680,11956,12470,12414,12779,13336,12000,14393,14318,12897,15105,15864,16250
2783,2131,2000,2750,3329,3371,3088,3738,3279,4181,2808,4443,5511,6165,6154,7156,6869,5819,8154,8319,8554,8673,9024,9499,9822,10137,11599,11294,11630,11727,12689,12505,12425,13243,11588,13639,14618,12652,14939,15810,16233
2589,1804,2462,2254,2841,3114,3302,4060,3584,4584,4227,4548,5082,6158,6348,7186,6893,6227,7900,7757,8513,8809,9395,9477,10007,10776,11414,11285,11794,12455,12768,12599,13316,13487,11532,14301,14736,14801,15673,15603,16311
2136,2180,2184,2551,3000,3352,3635,4331,3511,4417,4305,4460,4941,5860,6305,7027,6772,6027,8023,7887,8208,9448,8717,9774,10001,9935,10816,10911,11637,11995,12559,12690,12779,12770,11266,13914,14660,12418,15464,15863,16136
2001,1911,2200,2300,3032,3014,3432,3756,3536,4235,4099,4621,4932,5804,6404,6827,6989,6133,7829,7780,8190,9200,8861,9104,9752,10495,11876,11314,11606,12041,12908,12768,12746,13155,11249,14314,14659,12326,15561,15391,15643
2243,1834,1816,2348,2894,3284,3647,3856,3252,3946,4141,4263,4700,5811,6291,6680,6858,5478,7771,7925,10769,8731,8881,9698,10329,10414,11693,11533,11578,12574,12452,12328,12866,13290,11470,14027,14980,12397,15467,15780,16227
2177,1640,2137,1912,2844,2994,3043,3572,3317,4298,3975,4117,4582,6170,6395,7038,6744,6167,8055,7783,8163,8988,8901,9306,10045,10568,11182,11006,11761,11922,12530,12450,13070,13346,11864,14669,14814,11947,14926,16111,16298
2148,1965,1812,2557,3077,3258,3084,3942,3145,4085,4049,4501,4928,6009,5878,7015,6872,5578,7614,7768,8227,8687,8581,9379,9854,10468,11868,11616,11617,12225,12552,12546,13633,13287,11517,14418,14482,12283,15717,15746,16502
1999,1688,1873,2131,2739,3068,3351,3868,3417,4253,4499,4197,4818,5586,6082,5653,7103,5409,7740,7913,8083,8982,9044,9610,10002,10714,11472,11065,11236,12083,12632,12951,13257,13266,11111,13859,14826,12224,15707,15886,16232
1978,1853,2001,2150,3137,3329,3108,3689,3423,4047,4229,4259,4904,6392,6149,6798,6895,5720,7970,7797,8218,9264,8988,9390,9938,10504,11280,11311,11651,12075,12546,12892,13276,13415,11312,14274,14990,12362,15626,15609,15915
1807,1625,2034,2121,2920,3062,3230,4014,3232,3745,4291,4254,4883,5766,5931,6780,6890,5795,7874,7826,8282,8694,9017,9621,10161,10459,11406,11046,11630,12345,12751,12810,13003,12950,11876,14681,14891,11971,15627,15937,16229
1904,1930,2038,2302,2852,3148,3138,3677,3146,3969,3997,4325,4645,6087,6019,6116,6807,5854,7787,7739,8256,8985,9111,9347,10091,10752,11621,11240,11460,12380,12881,12730,13167,12980,11626,14442,14927,12265,15342,16108,16175
1785,1857,2257,2234,2849,3177,3169,3617,3196,3904,4140,4424,4955,5855,6465,6885,6870,5957,8008,8066,8194,8690,8848,9931,10283,10626,11669,11726,11407,12057,12494,12014,13399,13409,11212,14331,14441,11847,15603,15456,16014
1927,1865,1924,2275,2742,2999,3271,3791,3420,4121,4158,4327,4633,5818,6402,6059,7037,5658,7446,7945,8111,8716,9553,9303,10279,10580,11496,10965,11000,12199,12470,12712,13352,13640,11411,13839,14236,11717,15220,15343,15981
1981,1663,1954,2139,2872,2923,3171,4013,3535,4098,4316,4362,4574,5898,6166,6326,6962,5616,7787,7741,8105,8939,8410,10093,10421,10676,11411,10927,11364,12252,12776,12847,13163,13526,10902,14198,14426,11691,15713,15490,16258
1951,1780,1932,2102,2704,2987,3103,3717,3349,4003,4225,4271,4585,6026,6400,6915,6831,5554,8165,7827,8500,8696,8856,10105,10315,10428,10990,10793,11383,12261,12954,12886,12756,13285,11037,14316,14572,11605,15448,15496,15936
2272,1832,2006,2087,2677,2907,3246,3735,3214,4179,3880,4243,4584,5879,6143,6018,7280,5493,7624,7934,8061,8550,9282,10148,10115,12912,11640,11263,11366,12427,13118,12768,12942,13085,11525,14045,14435,11456,14988,15537,15832
